Текущее время: 2024-12-12 10:58:29, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.53 0.56 0.56 3/1266 10504
Текущее время: 2024-12-12 11:07:10, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.70 0.91 0.74 5/1293 10692
Текущее время: 2024-12-12 11:07:37, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.61 0.87 0.73 1/1274 10709
Текущее время: 2024-12-12 11:08:48, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.91 0.89 0.74 1/1295 10757
Текущее время: 2024-12-12 11:09:23, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.06 0.93 0.76 1/1300 10785
Текущее время: 2024-12-12 11:18:28, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.10 0.79 0.72 1/1284 10974
Текущее время: 2024-12-12 11:18:30, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.02 0.78 0.71 5/1284 10996
Текущее время: 2024-12-12 11:25:14, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.25 1.45 1.08 1/1283 11184
Текущее время: 2024-12-12 11:25:19, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.23 1.45 1.08 1/1282 11206
Текущее время: 2024-12-12 11:25:24, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.21 1.44 1.08 2/1289 11245
Текущее время: 2024-12-12 11:27:06, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.12 1.39 1.11 1/1271 11293
Текущее время: 2024-12-12 11:29:06, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.99 1.71 1.26 1/1280 11400
Текущее время: 2024-12-12 11:29:14, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.83 1.68 1.25 1/1272 11432
Текущее время: 2024-12-12 11:37:50, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.87 1.31 1.27 2/1273 11661
Текущее время: 2024-12-12 11:37:58, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.80 1.29 1.26 2/1273 11693
Текущее время: 2024-12-12 11:37:59, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.80 1.29 1.26 1/1273 11695
Текущее время: 2024-12-12 11:38:06, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.68 1.24 1.25 3/1270 11719
Текущее время: 2024-12-12 11:38:13, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.63 1.22 1.24 1/1270 11741
Текущее время: 2024-12-12 11:38:19, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.58 1.20 1.23 1/1270 11765
Текущее время: 2024-12-12 11:38:27, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.49 1.16 1.22 1/1270 11799
Текущее время: 2024-12-12 11:38:34, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.45 1.14 1.21 1/1270 11821
Текущее время: 2024-12-12 11:49:39, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.53 1.09 1.17 1/1305 14032
Текущее время: 2024-12-12 11:49:43, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.57 1.09 1.17 1/1298 14058
Текущее время: 2024-12-12 11:51:57, количество файлов: 5, размер файла: 1M, загрузка процессора: 1.01 1.09 1.16 1/1288 14140
Текущее время: 2024-12-12 11:52:03, количество файлов: 5, размер файла: 1M, загрузка процессора: 0.93 1.08 1.16 1/1288 14166
